"playerid","year","rank","playerfullname","playerusename","teamabbrev","teamname","leaguename","positionabbrev","position","primarypositionabbrev","plateappearances","totalbases","babip","walksperplateappearance","strikeoutsperplateappearance","homerunsperplateappearance","walksperstrikeout","iso","gamesplayed","runs","doubles","triples","homeruns","strikeouts","baseonballs","hits","avg","atbats","slg","rbi","numberofpitches","pitchesperplateappearance","caughtstealing","stolenbases","stolenbasepercentage","hitbypitch","obp","ops","sacbunts","groundintodoubleplay","sacflies","intentionalwalks","walkoffs","flyouts","totalswings","swingandmisses","ballsinplay","popouts","lineouts","groundouts","groundhits","catchersinterference"
543022,2018,537,"Tyler Chatwood","Tyler","CHC","Chicago Cubs","NL","P","Pitcher","P",32,4,".211","0.031","0.188","0","0.167","0",25,3,0,0,0,"6.0",1,4,"0.16",25,"0.16","2","111","3.469","0","0",NULL,"0","0.192","0.352","6","0","0","0","0","1","50","4","25","1","3","16","1","0"
445926,2018,537,"Jesse Chavez","Jesse","CHC","Chicago Cubs","NL","P","Pitcher","P",1,0,NULL,"0","1","0",NULL,"0",62,0,0,0,0,"1.0",0,0,"0",1,"0","0","3","3","0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
518553,2018,537,"Steve Cishek","Steve","CHC","Chicago Cubs","NL","P","Pitcher","P",6,1,".250","0","0.333","0",NULL,"0",80,1,0,0,0,"2.0",0,1,"0.167",6,"0.167","0","16","2.667","0","0",NULL,"0","0.167","0.334","0","0","0","0","0","0","10","4","4","0","0","3","1","0"
506433,2018,537,"Yu Darvish","Yu","CHC","Chicago Cubs","NL","P","Pitcher","P",14,2,".200","0","0.5","0",NULL,"0.083",8,0,1,0,0,"7.0",0,1,"0.083",12,"0.167","0","48","3.429","0","0",NULL,"0","0.083","0.25","2","0","0","0","0","1","19","6","7","0","0","5","0","0"
543089,2018,537,"Taylor Davis","Taylor","CHC","Chicago Cubs","NL","C","Catcher","C",6,2,".400","0","0.167","0",NULL,"0",5,0,0,0,0,"1.0",0,2,"0.4",5,"0.4","2","20","3.333","0","0",NULL,"0","0.333","0.733","0","0","1","0","0","0","14","5","5","1","1","1","2","0"
407822,2018,537,"Jorge De La Rosa","Jorge","CHC","Chicago Cubs","NL","P","Pitcher","P",2,0,".000","0.5","0","0",NULL,"0",60,1,0,0,0,"0.0",1,0,"0",1,"0","0","8","4","0","0",NULL,"0","0.5","0.5","0","0","0","0","0","0","1","0","1","0","0","1","0","0"
488846,2018,537,"Brian Duensing","Brian","CHC","Chicago Cubs","NL","P","Pitcher","P",2,0,NULL,"0.5","0.5","0","1","0",48,1,0,0,0,"1.0",1,0,"0",1,"0","0","11","5.5","0","0",NULL,"0","0.5","0.5","0","0","0","0","0","0","5","3","0","0","0","0","0","0"
605218,2018,537,"Carl Edwards Jr.","Carl","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,58,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
608652,2018,537,"Luke Farrell","Luke","CHC","Chicago Cubs","NL","P","Pitcher","P",5,0,".000","0","0.6","0",NULL,"0",20,0,0,0,0,"3.0",0,0,"0",4,"0","0","16","3.2","0","0",NULL,"0","0","0","1","0","0","0","0","0","3","1","2","0","0","2","0","0"
502273,2018,537,"Mike Freeman","Mike","CHC","Chicago Cubs","NL","2B","Second Base","SS",1,0,NULL,"0","0","0",NULL,NULL,1,0,0,0,0,"0.0",0,0,"0",0,"0","0","3","3","0","0",NULL,"0","0","0","1","0","0","0","0","0","2","1","1","0","0","1","0","0"
448802,2018,537,"Jaime GarcĂ­a","Jaime","CHC","Chicago Cubs","NL","P","Pitcher","P",4,0,NULL,"0","1","0",NULL,"0",33,0,0,0,0,"4.0",0,0,"0",4,"0","0","22","5.5","0","0",NULL,"0","0","0","0","0","0","0","0","0","8","5","0","0","0","0","0","0"
605253,2018,537,"Terrance Gore","Terrance","CHC","Chicago Cubs","NL",NULL,NULL,"OF",5,1,".250","0","0.2","0",NULL,"0",14,5,0,0,0,"1.0",0,1,"0.2",5,"0.2","0","19","3.8","0","6","1","0","0.2","0.4","0","0","0","0","0","0","9","0","4","2","0","1","1","0"
606995,2018,537,"Justin Hancock","Justin","CHC","Chicago Cubs","NL","P","Pitcher","P",2,0,NULL,"0","1","0",NULL,"0",10,0,0,0,0,"2.0",0,0,"0",2,"0","0","10","5","0","0",NULL,"0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
543294,2018,537,"Kyle Hendricks","Kyle","CHC","Chicago Cubs","NL","P","Pitcher","P",66,5,".138","0.03","0.47","0","0.065","0.017",33,1,1,0,0,"31.0",2,4,"0.067",60,"0.083","1","238","3.606","0","0",NULL,"0","0.097","0.18","4","0","0","0","0","2","84","28","33","5","2","20","2","0"
445213,2018,537,"Brandon Kintzler","Brandon","CHC","Chicago Cubs","NL","P","Pitcher","P",1,0,NULL,"0","1","0",NULL,"0",70,0,0,0,0,"1.0",0,0,"0",1,"0","0","4","4","0","0",NULL,"0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
596027,2018,537,"Dillon Maples","Dillon","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,9,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
543508,2018,537,"Cory Mazzoni","Cory","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,8,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
621219,2018,537,"Alec Mills","Alec","CHC","Chicago Cubs","NL","P","Pitcher","P",5,1,".333","0","0.4","0",NULL,"0",7,0,0,0,0,"2.0",0,1,"0.2",5,"0.2","0","22","4.4","0","0",NULL,"0","0.2","0.4","0","0","0","0","0","0","6","1","3","1","0","1","0","0"
543557,2018,537,"Mike Montgomery","Mike","CHC","Chicago Cubs","NL","P","Pitcher","P",35,3,".231","0.029","0.571","0","0.05","0",39,1,0,0,0,"20.0",1,3,"0.091",33,"0.091","1","140","4","0","0",NULL,"0","0.118","0.209","1","0","0","0","0","0","78","32","14","0","0","11","0","0"
453344,2018,537,"Brandon Morrow","Brandon","CHC","Chicago Cubs","NL","P","Pitcher","P",1,0,NULL,"0","1","0",NULL,"0",35,0,0,0,0,"1.0",0,0,"0",1,"0","0","3","3","0","0",NULL,"0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
519068,2018,537,"Efren Navarro","Efren","CHC","Chicago Cubs","NL","1B","First Base","1B",6,1,".500","0","0.667","0",NULL,"0",4,0,0,0,0,"4.0",0,1,"0.167",6,"0.167","0","23","3.833","0","0",NULL,"0","0.167","0.334","0","0","0","0","0","0","15","6","2","0","1","0","1","0"
